type,text
Tweet,"¿Aún no sabes por quién votar❓  Los invito a que elijas #Republicano. Vota la lista C y juntos #REcuperemos y #Reconstruyamos Chile

https://t.co/cBRYI7cY5A"
Retweet,"Aún no sabes por quién votar en #Arica ❓ 

Te invitamos a conectarte al #Live #ReconoceATuCandidato donde @joseantoniokast conversa con los candidatos al #ConsejoConstitucional de la región

¡No te lo pierdas! https://t.co/4A5VCPmIHX https://t.co/PkVpCPdlYF"
Retweet,"Les compartimos la nota del Diario @La_Segunda  donde @joseantoniokast  emplaza al Presidente @gabrielboric para hacerse presente en la crisis migratoria. ""La inmigración ilegal vulnera los derechos de las personas que son objeto de tráfico humano por mafias"" 
#CeroIlegales https://t.co/Bv5KoKoCYA"
Tweet,"Fuimos a #Chacalluta a conocer la crisis política y humanitaria que está explotando en la frontera norte. Los Republicanos no estamos en contra de la inmigración, sino en contra de la ilegalidad y el desorden. El gobierno, una vez más, llega tarde y mal a enfrentar esta crisis. https://t.co/wyhGvtzq8r"
Tweet,"¡Chile nos necesita! 🇨🇱

Este 7 de mayo es nuestro deber cuidar la democracia.  Inscríbete como apoderado de mesa en https://t.co/R0gN41usyp y defendamos nuestros votos.🫡

Recuerda: Sin apoderados, NO hay REconstrucción❌ https://t.co/P8VkqxpXJr"
Retweet,"Conversaciones LT | @MacarenaBravo_: ""Tenemos que dialogar, pero siempre con transparencia"" https://t.co/em0GX2H649 https://t.co/dIwcyxkA9x"
Tweet,"La economía se desploma con un imacec de un -2,1% , el desempleo al alza y un gobierno inmovil que solo propone medidas para frenar el crecimiento y la inversión. 

Oficialmente estamos en recesión https://t.co/SlQClnEIst"
Retweet,"🔴 AHORA

@joseantoniokast junto a @martinarrau en su REcorrido por #Arica 
Acompáñalos en #RadioNeura 
👉🏻 https://t.co/tBUVI5DPRZ https://t.co/g5cA9ZrSnR"
Retweet,Este domingo vota Republicano Tenemos la gran oportunidad de Recuperar Chile y su #seguridad @PRChile #CvieneREpublicanos #despegaconortega https://t.co/FqBxhO5iN4
Retweet,"En la #RegiónDeValparaíso
Vota Lista C

#VotaC7 
María de los Ángeles López Porfiri @angeleslpo 

Recuerda que está elección es REGIONAL
Vota ARRIBA A LA DERECHA
MARCA SOLO 1 OPCIÓN

#SoloQuedaRepublicanos 
@PRChile @Rowebac @arturo_squella https://t.co/OtQJfKkjnf"
